what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364545717476
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364545717962
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364545738804
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364545739250
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364545748110
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1364545750489
closed,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1364545750489
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.closeProject",1364545755623
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364545756061
error,log,,,"Problems occurred closing the selected resources.",1364545757873
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364545759319
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.closeProject",1364545765239
error,log,,,"Problems occurred closing the selected resources.",1364545765332
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364545765642
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364545766553
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364545770087
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1364545772808
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1364545772809
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364545772830
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364545781613
error,log,,,"Could not write metadata for '/'.",1364545783222
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364545785819
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.3.v201011040143,"org.eclipse.wst.jsdt.debug.core",1364545787555
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364545787671
error,log,,,"Problems saving workspace",1364545788992
error,log,,,"Problems occurred while trying to save the state of the workbench.",1364545788998
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.restartWorkbench",1364545789177
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1364545789324
stopped,bundle,org.eclipse.mylyn.pde.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.pde.ui",1364545789330
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1364545789336
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1364545789351
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1364545789379
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1364545789408
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1364545789440
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1364545789440
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1364545789476
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1364545789485
